"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"mass";"chi.distance";"inertie"
"saúde";-0,412387047147307;-1,52028286909569;2,12461673527229;0,902521769770954;-0,147564963715794;-0,544004686780845;0,760254216564745;0,322950473663622;0,0284966662068292;0,329826491769966;0,563252475054197;0,0784243669690086;0,000192596915803936;0,00261750849611077;0,00511211355809636;0,000922475135798975;0,00113250283125708;1,46954470252156;0,00244570966331732
"proteção";-1,54319625967132;-0,220546300270466;0,448806893762095;-0,669117250054008;-0,879426057143317;-0,125683406792155;0,25576298188022;-0,381311930542719;0,841466502895204;0,0146368212773772;0,0529994588969843;0,0908972169304318;0,0101137656959098;0,000206571364225611;0,000855440095788707;0,00190140668595628;0,00424688561721404;1,01199311826462;0,00434936327044854
"prever";-3,13596964461707;1,25887119623009;0,949174172745921;-0,467645926310552;-0,885616758378538;0,355512825175175;0,268052516211942;-0,13206603260302;0,820860617058886;0,112652548490476;0,0559983761477494;0,010488458302885;0,041765171058719;0,00673028038801433;0,00382615349748543;0,000928762934859235;0,00424688561721404;2,0821497141234;0,0184117246546893
"institucionalmente";0,723463086724871;0,294561055775558;-0,11454383403652;-0,714454294708096;0,679456258782797;0,276643489644253;-0,107576359276902;-0,670995453757372;0,581325473435236;0,0820710450797105;0,0108514536749202;0,325752027810131;0,00237100266298292;0,000393051939205488;5,94350619061649e-05;0,00231232135550099;0,00453001132502831;0,570796778518111;0,00147591828931666
"demonstrar";0,0683829872061347;-1,38665523219436;0,236746546436762;0,355614143710186;0,047076797512866;-0,954612985674219;0,16298307055346;0,244814912599399;0,00266208164431066;0,932212520678877;0,0237602183888244;0,0413651792879894;1,72115028907268e-05;0,00707717030822085;0,000206295598597549;0,000465458224713329;0,0036806342015855;0,79728243510728;0,00233962929142065
"agravar";0,222695494036658;-0,66008048584005;-1,7915102373105;0,339206511686426;0,114092311413415;-0,338175267865925;-0,917834214741248;0,173783736093086;0,0172392876503364;0,128986112118565;0,830793202245144;0,0229813979859561;0,000168493600444726;0,00148031567764497;0,0109043338518289;0,000390920920397984;0,00339750849377123;1,02029694186387;0,00353682621600262
"vínculo";0,650090354577317;-0,00975436527977754;1,78475518225275;0,0370316224461982;0,34217959558662;-0,00513427824784237;0,939418347287198;0,0194918529452654;0,151178357629724;2,89863089045962e-05;0,84851079227378;0,000281863787592846;0,00179480805116561;4,04081152369746e-07;0,0135278216049464;5,82392862824649e-06;0,00424688561721404;1,00578168809534;0,00429613591778558
"situação_de_risco";1,34703955087459;0,806418651648614;0,584621496637953;-0,681266468380592;0,744831110820324;0,445900567435963;0,323260203063501;-0,37669900640935;0,627962011861946;0,191666632974719;0,0880805722142711;0,0922907829490626;0,00616483199871038;0,00220943728785991;0,00116120824801087;0,00157686523535594;0,00339750849377123;1,02255923343068;0,00355252792482787
"preliminar";1,37524053979667;1,73301700946139;-0,186098079491875;0,659303210234249;0,593794811076632;0,748273831338522;-0,0803525425231717;0,284670800368598;0,400307271728991;0,541370399040374;0,00545855661046842;0,0528637726201646;0,0053547184096836;0,00850325015595269;9,80534971420278e-05;0,00123069287379724;0,0028312570781427;1,30754528760023;0,00484052853659563
"possibilidade";0,243554201578701;0,0488850310174393;-2,2266088574473;1,779971519387;0,0851161893471119;0,0170841132255124;-0,778144905257155;0,622056166120598;0,0106426667466091;0,000365143613939067;0,662376574863122;0,326615614776331;0,000167946345149034;6,76598600672707e-06;0,0140367695471765;0,00897026786474764;0,0028312570781427;1,42018593656767;0,00571044194344451
