"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"mass";"chi.distance";"inertie"
"demonstrar";-0,525257244398747;-0,774904048423596;-1,56205758759894;-0,288428984740041;-0,425514907868824;-0,857756249725536;0,195942459566149;0,186131690631058;0,617925849802794;0,000927378732078539;0,00201840767819589;0,00820176103185012;0,00336134453781513;1,01268271182769;0,00344714714230147
"contexto";-0,177850477521276;-0,87162526031872;0,221813672193871;-0,193985818014974;-0,950702755944046;0,241937537908977;0,0830719845193219;0,870851570207741;0,0460764452729368;0,000100415213823956;0,00241184315690691;0,000156194619594064;0,00317460317460317;0,526615169881346;0,0008803921814259
"bem";-0,383257102117743;-1,07290961761704;-0,70973420803396;-0,285524714144245;-0,799312550713285;-0,528748601780722;0,17720101659426;0,606110868794878;0,216688114610862;0,000246867237518807;0,00193468075222712;0,000846592682443013;0,00168067226890756;0,777003060676435;0,00101467858201773
"origem";-0,289334003057633;-0,132731567250292;1,14823661432834;-0,242822584720041;-0,111394519458668;0,963653699927754;0,149080578694202;0,0136933772287395;0,837226044077057;0,000265759255001125;5,59291077610119e-05;0,0041855470555054;0,00317460317460317;0,639520636775832;0,00129837030114973
"biológico";-0,66957747350069;-0,861605751686033;2,49956150814995;-0,245503659270379;-0,315911710382695;0,91647571955177;0,149435164750243;0,107996163083264;0,742568672166491;0,00142328251752243;0,00235671260742366;0,019834310263571;0,00317460317460317;1,47822333446479;0,00693696579859111
"agravar";0,0323476517195468;1,69358788046147;-0,0170940253510027;0,019095617408177;0,999766737097501;-0,0100910251816264;0,000835085731451241;0,999081758561171;8,31557073791763e-05;3,12641067195249e-06;0,00856990448954917;8,73070260170229e-07;0,00298786181139122;0,955306756745012;0,00272675555400985
"vida";-0,590015162050147;0,44872216564418;0,0416946626765317;-0,794704090281264;0,604393519648209;0,0561594364063496;0,797303943531357;0,20127629192649;0,00141976454215252;0,000260032038430671;0,000150402675585735;1,2985582787748e-06;0,000746965452847806;0,563919144446853;0,000237538600540557
"possibilidade";-0,576171120310894;0,733422066167668;-1,17835171202837;-0,383399591186086;0,488038553865404;-0,784106576569351;0,312632789002081;0,221095297827931;0,466271913169987;0,000619931204258284;0,00100449659596947;0,0025929276512422;0,00186741363211951;0,879427103517487;0,00144424282054371
"pai";-0,713052446881605;-1,42296879172835;1,68159278999756;-0,307961921114501;-0,614569383645077;0,726267118785903;0,211805767681551;0,368150668027884;0,420043564290563;0,00104442235518997;0,00415933557508144;0,00580864564427441;0,00205415499533147;1,3222640974933;0,00359144832469046
"artigo";0,153028500880465;0,82120284232089;0,663016303561371;0,143489149884515;0,770011449170603;0,621685798463828;0,0493522546117584;0,620302093706854;0,33034565168139;1,7492229379438e-05;0,00050373416114727;0,000328359005630763;0,000746965452847806;0,587874263217503;0,000258148384204312
"aplicação";-0,529287947224641;1,37797659352522;-0,843847544310503;-0,311289635676532;0,81042811199175;-0,496291283435301;0,205564846517517;0,608118939842117;0,186316213640366;0,000627777548632548;0,00425505768583389;0,00159569451661371;0,00224089635854342;0,996284108197051;0,0022242734436885
"afetivo";-0,70287024301955;-1,12641337332098;-0,433803468322272;-0,503204359584611;-0,806430668788124;-0,310571970617086;0,443109822364431;0,496702867958598;0,0601873096769712;0,00147608314777923;0,00379102024305168;0,000562272116910349;0,00298786181139122;0,901125109450848;0,00242622285828662
"unânime";1,1612150145209;-0,0353996335163893;0,176590505551325;0,988184840909112;-0,0301248095978736;0,150277130808796;0,991422148737235;0,000402134072967876;0,00817571718979544;0,00402889354980025;3,74419138179548e-06;9,3174100170674e-05;0,00298786181139122;0,995288432732109;0,0029597731147125
"social";-0,498404896563428;-0,847394328281385;-1,51986394752447;-0,275346230721459;-0,46814715472469;-0,839656295605924;0,179289176552264;0,226204159530097;0,59450666391764;0,000695819162236418;0,00201142058152229;0,00647055019323438;0,00280112044817927;1,00454844720193;0,00282665989573055
"saúde";-0,650742376875652;-0,480532262236862;0,927236869663566;-0,528841270981205;-0,390515972740124;0,753541097181712;0,509693015524643;0,121304137614547;0,369002846860808;0,000316314204341194;0,000172482730196434;0,000642217152166939;0,000746965452847806;0,777893908529021;0,000452002937760267
"razão";-0,634605028907045;-0,28563743637605;1,41918047717263;-0,401489121793717;-0,180711337380257;0,897858506460538;0,34822222507627;0,0307907118750544;0,620987063048674;0,00105287200709571;0,00021330390865224;0,00526555091970699;0,00261437908496732;0,917784859134906;0,00220216744485563
"pretensão";0,0437438177123522;1,35654278439192;-0,147812772819186;0,0320403439851052;0,993605490225792;-0,10826608956862;0,00235402156360696;0,98806171312692;0,00958426530947403;5,36000444832352e-06;0,00515464517054839;6,12006045055918e-05;0,00280112044817927;0,769444123753122;0,00165838728173168
"gonçalves";1,83694900760124;-0,541113674894062;-0,341742639802916;0,944328389807681;-0,278172667396411;-0,175681129654835;0,952187132469422;0,0360616118648667;0,0117512556657106;0,0100821860885966;0,000874857917183512;0,000348946500420439;0,00298786181139122;1,60657708864553;0,00771194006875291
"estatuto";-0,482404774138389;2,02253112088278;-0,509343376592633;-0,225344636846054;0,944780328426903;-0,237928404488144;0,110259742724835;0,845910109467491;0,0438301478076753;0,000434573979666685;0,00763890221277187;0,000484464379605574;0,00186741363211951;1,2398488180655;0,0028706350917991
"especial";0,645570595491197;-0,844825002011953;1,73879282251351;0,316749679791883;-0,414513998525374;0,853139956500835;0,230719061665958;0,172452510130604;0,596828428203436;0,00101174568047006;0,00173267613301932;0,0073397210523097;0,00242763772175537;1,14701111146915;0,00319388391556267
"verificar";-0,581946403499924;0,450763063685055;1,62098107847341;-0,326883125165092;0,253196579754069;0,910515740931009;0,24823322249787;0,0650025780099491;0,686764199492182;0,000822147715238926;0,00049326525015417;0,00637881149168898;0,00242763772175537;0,996824396608643;0,00241224377399896
"provimento";0,666869121243894;-0,406825155052741;-0,138201600109421;0,840629372087443;-0,512828025390438;-0,174211581584047;0,849078399685024;0,137918391179068;0,0130032091359083;0,00107960551321976;0,000401790324591584;4,6367109159002e-05;0,00242763772175537;0,617635620041751;0,000926080087558666
"preliminar";0,274040884537138;1,11920090156716;0,292614599808126;0,23051182437899;0,941425371993696;0,246135263194854;0,115121769268394;0,838074923199325;0,0468033075322816;9,81678515005189e-05;0,00163739955303105;0,00011192588760898;0,00130718954248366;0,689290440491567;0,000621073609611841
