ação de destituição;1;2;2;18
eca ação de destituição;1;1;1;6
possui condições;0;1;2;1
condições de;0;3;10;1
assumir os;0;2;4;0
os cuidados;0;8;8;2
cuidados da;0;2;5;1
suspensão da;0;1;0;3
da menor;0;5;1;9
menor em;0;1;0;3
substituta e;0;2;0;2
à família;0;6;3;2
família extensa;0;22;2;4
possui condições de;0;1;2;1
assumir os cuidados;0;2;4;0
os cuidados da;0;2;4;1
família substituta e;0;2;0;2
em família substituta e;0;2;0;2
o que;0;6;5;1
e a;0;5;5;5
a genitora;0;1;7;2
menor e;0;1;0;3
da família;0;10;0;5
para a;0;3;0;3
à sua;0;4;1;0
a situação;0;4;6;1
não é;0;2;1;2
do acolhimento;0;2;1;10
além de;0;3;3;0
histórico de;0;2;1;2
de saúde;0;2;1;1
e os;0;3;0;1
a infante;0;5;2;1
e de;0;4;4;1
da sua;0;4;0;0
o acolhimento;0;4;0;12
acolhimento institucional;0;11;9;70
o acolhimento institucional;0;2;0;10
a criança;0;5;3;2
de uma;0;4;1;0
de modo;0;1;3;2
modo que;0;1;3;2
que a;0;10;24;4
situação de;0;16;4;9
de negligência;0;4;0;3
não se;0;12;3;0
do art;0;1;1;2
de modo que;0;1;3;2
do eca;0;4;5;5
da mãe;0;7;1;1
a destituição;0;2;2;0
destituição do;0;9;9;26
a destituição do;0;2;2;0
destituição do poder;0;9;9;26
a destituição do poder;0;2;2;0
destituição do poder familiar;0;9;9;26
a destituição do poder familiar;0;2;2;0
que as;0;1;2;3
período de;0;1;3;0
de proteção;0;1;2;21
bem como;0;2;2;1
infante de;0;1;2;1
anos de;0;8;3;0
de idade;0;6;5;2
em situação;0;5;2;5
de risco;0;8;1;8
ao longo;0;2;2;0
anos de idade;0;5;3;0
em situação de;0;4;2;5
situação de risco;0;7;0;6
em situação de risco;0;4;0;3
convivência e;0;5;0;2
com a;0;10;12;9
família de;0;5;0;0
sob a;0;5;0;3
a guarda;0;7;9;7
guarda do;0;1;2;2
com a família;0;3;0;2
sob a guarda;0;4;0;2
a guarda do;0;1;2;2
considerando que;0;3;2;0
a filha;0;2;4;1
guarda da;0;4;1;0
cível eca;0;2;1;3
eca destituição;0;3;1;7
que não;0;13;5;2
na família;0;4;0;1
apelação cível eca;0;2;1;3
