"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Coord. facteur 5";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"Corr. facteur 5";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"COR -facteur 5";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"CTR -facteur 5";"mass";"chi.distance";"inertie"
"*cod_10782763";-0,326572228894733;0,446419720071905;2,1527165317514;-1,35639995431822;-2,24132365481739;-0,0950548317451536;0,129938640290298;0,626587595684992;-0,394805063104163;-0,652378322603095;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,63976931248198;NA
"*rel_glaucia_dipp_dreher";-0,326572228894733;0,446419720071905;2,1527165317514;-1,35639995431822;-2,24132365481739;-0,0950548317451536;0,129938640290298;0,626587595684992;-0,394805063104163;-0,652378322603095;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,63976931248198;NA
"*cod_10726012";0,278492439765557;1,05864760533484;1,18702492035046;-0,496579363696232;4,37856004258517;0,0593401376531048;0,225572710984841;0,25292687381589;-0,105809291707279;0,932967357634974;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2,13181035381091;NA
"*cod_10672236";-0,326572228894733;0,446419720071905;2,1527165317514;-1,35639995431822;-2,24132365481739;-0,0950548317451536;0,129938640290298;0,626587595684992;-0,394805063104163;-0,652378322603095;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,63976931248198;NA
"*ori_porto_alegre";-0,335071105990411;0,854617944750977;0,204366299365554;0,740268107279481;-0,537306235506919;-0,255407299815537;0,65143086867358;0,155777814801326;0,564267927134312;-0,409560634538271;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,685020529592901;NA
"*rel_luiz_augusto_guimaraes_de_souza";-0,326572228894733;0,446419720071905;2,1527165317514;-1,35639995431822;-2,24132365481739;-0,0950548317451536;0,129938640290298;0,626587595684992;-0,394805063104163;-0,652378322603095;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,63976931248198;NA
"*cod_10611160";-0,326572228894733;0,446419720071905;2,1527165317514;-1,35639995431822;-2,24132365481739;-0,0950548317451536;0,129938640290298;0,626587595684992;-0,394805063104163;-0,652378322603095;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,63976931248198;NA
"*rel_roberto_arriada_lorea";0,27781188291538;0,269656083183307;1,53892891310214;-0,964835661399408;-0,359204128566093;0,146866474234548;0,142554874821872;0,81356154097181;-0,510064617533482;-0,189894843011681;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,945914805204829;NA
"*cod_10530261";-1,46478839206388;-1,32956898969737;-0,328252697549115;0,0657894082657218;1,81526219780236;-0,541378676177626;-0,491402241736087;-0,121320602903252;0,0243154457984349;0,670912092754128;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,43062474420643;NA
"*tipo_proc_apelação_cível";1,05561072669811;-0,46045957945016;-0,378388373123169;0,662168045527019;0,289771676651605;0,747936442148072;-0,32625142099891;-0,268101153565558;0,469168794471012;0,205313181638467;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,804235061197695;NA
