"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Coord. facteur 5";"Coord. facteur 6";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"Corr. facteur 5";"Corr. facteur 6";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"COR -facteur 5";"COR -facteur 6";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"CTR -facteur 5";"CTR -facteur 6";"mass";"chi.distance";"inertie"
"direito";-1,03195157413496;0,573180438961295;-0,892546690724793;-0,647107407917884;0,163237442440725;-0,168120520915642;-0,632283573509299;0,351191456358667;-0,546869276892604;-0,396487000531625;0,100016663595342;-0,103008558162134;0,305995940770274;0,0611290954289505;0,133696299879957;0,0512657191737926;0,00266149813515939;0,00249810375411097;0,00571697040300432;0,00176372158348666;0,00427670403478001;0,00224801938156521;0,000143049673747036;0,000151736045742723;0,00536843016711404;0,56049518954256;0,00168651841415029
"convivência";-0,203114487600129;-0,0930005203809357;-0,207414585003845;0,148624820372824;0,0906284385737973;0,376337675515684;-0,394669993676545;-0,180708502009563;-0,403025475529097;0,288791595369599;0,176099330488196;0,73125846300255;0,195934388882732;0,0265991549294177;0,119335022035374;0,0446980760978689;0,0135596172873587;0,206897978915353;0,000335788080082078;7,03970125868677e-05;0,000350156389886382;0,000179790258870922;6,68517018410692e-05;0,00115275992078791;0,0081392328340116;0,137865618216293;0,000154701818036115
"considerar";1,45062435645086;0,557760036573989;2,90369992841707;2,4678961619193;-0,532431832926125;-1,38890092225158;0,331490790014161;0,127457059672293;0,66354172184868;0,563953614007348;-0,121669161379029;-0,317386001359457;0,181611283060164;0,0173858489621099;0,425007735257043;0,223956639913464;0,00850453348960834;0,0512091323377489;0,00255090088573889;0,00037711902481481;0,0102208525274959;0,00738307736810323;0,000343646306518575;0,00233843976150646;0,00121222616676769;1,02271342338856;0,00126791916610166
"natural";1,86615881057567;2,07921361552708;2,13501825338891;1,41988286778672;1,84664281078908;-0,139970115854095;0,44220122062755;0,492686256668514;0,505909610886457;0,336452575056967;0,437576748755974;-0,033167035801721;0,178046847330921;0,143121054699351;0,136113356602378;0,0439156594400601;0,0606027680629417;0,000308091503464502;0,00422163666880673;0,00524061041007053;0,00552569410271482;0,00244392960561774;0,00413379992977277;2,37494905750215e-05;0,00121222616676769;1,32877625868191;0,00214036270143854
"extenso";2,16557881998123;3,40687715855021;0,277863598728527;-0,854655665998077;-1,75793757815542;1,17692285311699;0,466177700073409;0,733388294875978;0,05981486898293;-0,183979178708972;-0,378425984543115;0,253352675860891;0,309353934021862;0,495779790967289;0,00297461960066506;0,0205289759800162;0,070860485819866;0,0281044851020579;0,0138064659510559;0,0341701971683555;0,000227299169014158;0,00215038829789323;0,00909790579058728;0,00407784324828362;0,00294397783357866;1,16981336287141;0,00402872563290206
"dever";-0,612730176951336;0,259801260016915;0,378055934308347;-0,136854608075808;-1,18218210874094;-0,611884390775772;-0,397462373701801;0,168526423834423;0,245235202532193;-0,0887740793973668;-0,766851258127755;-0,396913733870389;0,261172394418702;0,0304046112701335;0,0580712694995969;0,00555117428869533;0,337945812044252;0,0801123494219078;0,00149538145366296;0,000268841281192598;0,000569279532030896;7,45988789135704e-05;0,00556650002237855;0,00149125598346625;0,00398302883366525;0,360226815592529;0,000516851199143558
"ser";0,100861349390115;-0,116541787640991;-0,255151255050124;0,17429404793236;0,0720014363020632;-0,371256455407055;0,196954578560555;-0,227574177901834;-0,498240487674051;0,340348517680008;0,140599076141423;-0,724962130238443;0,0337694913994118;0,0291948696574733;0,126220779981747;0,0429652522395038;0,00598200627779544;0,140732689612481;0,000162958453818258;0,000217565835077774;0,0010428522076739;0,000486622807321834;8,30442690681974e-05;0,00220787953944592;0,0160187029180016;0,164904656288101;0,0004356053293027
"desprover";-0,283874999758399;-0,441219963504051;-0,138911143351366;1,28335215731942;0,056524573274601;0,382703894552695;-0,196303794056524;-0,305110182027446;-0,0960591263753793;0,887457147712333;0,0390875850309953;0,264645448048756;0,0734126546480712;0,114840523068939;0,0102671823911147;0,639271887603783;0,00101176765832612;0,0410406647953504;0,000390749057694912;0,000943960788543849;9,3565946994743e-05;0,00798611087912368;1,54923831930939e-05;0,000710181588944916;0,00484890466707074;0,31478359207998;0,000480471707610651
"n";-0,221775551804203;-0,0550681485182248;-0,0302240985613705;0,266937767321282;0,167784534074378;0,284960494900157;-0,45871915133899;-0,113902610763838;-0,0625153346672684;0,552132392816901;0,347044471098225;0,589410488768137;0,330889794461313;0,0132106809418818;0,00358941124836416;0,204245908036175;0,065833881457418;0,168034066154827;0,000344959392642026;2,12687314468132e-05;6,40689123228354e-06;0,000499759070172321;0,000197444249704654;0,000569521272487067;0,00701359425058447;0,115835689110113;9,41077544896355e-05
"oitavo";-0,193357878442004;-0,318643966254909;-0,846158598045692;-0,488158616221045;0,0514749329820422;-0,00512069922098459;-0,18470570237442;-0,304385619395058;-0,808295578289879;-0,466315005138398;0,0491715865302899;-0,00489156352914678;0,0474265475309881;0,0834021762372393;0,530471162986675;0,128794395839917;0,0011683660237037;1,02312403903885e-05;0,000171575484045927;0,000465953830913928;0,0032857538983005;0,0010935871706048;1,21597058145124e-05;1,20334462475105e-07;0,0045891419170491;0,266760499079011;0,000326568679976691
